Title;Artist;Language;genre;Period
Resiste;France Gall;English;Variete;1980'
Respire;Mickey 3d;French;Variete;2000'
Ricordu;i surghjenti;Italien-Corse;Variete;trad
Roar;Katy Perry;English;Variete;2010 and after'
rock n roll suicide;David Bowie;English;Pop;1970'
Rouge;jean-jacques goldman;French;Engage;1990'
Roxanne;The Police;English;Rock;1970'
Sailing;Rod Stewart;English;Variete;1970'
San Francisco;Scott McKenzie;English;Variete;1960'
Santa baby;Eartha Kitt;English;Jazz;1950 and before'
Santeria;Sublime;English;Pop;1990'
Sara Perche Ti Amo;Ricchi & Poveri;Italien-Corse;Variete;1980'
Scarborough Fair / Canticle;Paul Simon and Garfunkel;English;Variete;1960'
Sei nell'anima;Gianna Naninni;Italien-Corse;Variete;2000'
Sensualite;axelle red;French;Variete;1990'
Seras tu la;Michel Berger;French;Variete;1970'
Seven Nation Army;White Stripes;English;Rock;2000'
Shallow;Lady Gaga;English;Variete;2010 and after'
Sharp dressed man;ZZ top;English;rock;1980'
Shenandoah;Bruce Springsteen;English;Variete;trad
Should I Stay or Should I Go;Clash;English;Rock;1980'
Si maman si;France Gall;French;Variete;1970'
Si seulement je pouvais lui manquer;Calogero;French;Variete;2000'
Si vous n'avez rien a me dire;Francoise Hardy;French;Variete;2010 and after'
Siffler sur la colline;Joe Dassin;French;Variete;1960'
Sign of the times;Harry Style;English;Girly;2010 and after'
Sister Jane;jean-jacques goldman- tai phong;English;Variete;1970'
Sittin On The Dock Of The Bay;Otis Redding;English;Variete;1960'
Skinny Love;Birdy;English;Variete;2000'
Smile;Nat King Cole;English;Jazz;1950 and before'
Snowman;Sia;English;Christmas;2010 and after'
Something;the Beatles;English;Variete;1960 Beatles Rolling stones'
Something stupid;Franck et Nancy Sinatra;English;Variete;1960'
Somewhere Only We Know;Keane;English;Pop;2000'
Space Oddity;David Bowie;English;Pop;1960'
Stairway To Heaven;Led Zeppelin;English;Variete;1970'
Stand By Me;Ben E King;English;wedding;1960'
Stand by Your Man;Tammy Wynette;English;Variete;1960'
Starman;David Bowie;English;Variete;1970'
Still got the blues;Gary Moore;English;Blues;1990'
Still loving you;Scorpions;English;Rock;1980'
Stop in the Name of Love;The Supremes;English;Variete;1960'
Stormy weather;Billie Holiday;English;Jazz;1950 and before'
Sugar Man;Sixto Rodriguez;English;Engage;1970'
Summertime;Georges Gershwin;English;Variete;1950 and before'
Sunday Bloody Sunday;U2;English;Pop;1980'
Sunday kind of love;Etta James;English;Jazz;1960'
Surfin Usa;Beach Boys;English;Variete;1960'
Sweet child O mine;Gun N Roses;English;Variete;1980'
Sweet Dreams;Eurythmics;English;Girly;1980'
Syracuse;Henry Salvador;French;Variete;1960'
Take Me Home Country Roads;John Denver;English;Variete;1970'
Tant de belles choses;Francoise Hardy;French;Variete;2000'
Tennessee whiskey;Chris Stappleton;English;wedding;2010 and after'
That ll be the day;Buddy Holly;English;Variete;1950 and before'
That's why i play the blues;Gary Moore;English;Blues;2000'
The court of the crimson king;King Crimson;English;Variete;1960'
The door;Teddy Swims;English;Variete;2010 and after'
the fallen leaves;joseph Kosma;English;Jazz;1950 and before'
The Long and Winding Road;The Beatles;English;Variete;1960 Beatles Rolling stones'
The needle and the damage done;Neil Young;English;Variete;1970'
The Reason;Hoobastank;English;Rock;2000'
The Rose;Bette Midler;English;Variete;1970'
The Scientist;Coldplay;English;Pop;2000'
The winner takes it all;ABBA;English;Variete;1980'
These Boots Are Made For Walkin;Nancy Sinatra;English;Variete;1960'
Three Little Birds;Bob Marley;English;Variete;1980'
Three O clock blues;BB King;English;Variete;1950 and before'
Ti Amo;Umberto Tozzi;Italien-Corse;Variete;1970'
Time;Pink Floyd;English;Variete;1970'
Time after time;Cindy Lauper;English;Variete;1980'
Time Is Running Out;Muse;English;Pop;2000'
Too many friends;Placebo;English;Pop;2010 and after'
Torn;Natalie Imbruglia;English;Pop;1990'
Total eclipse of the heart;Bonnie Tyler;English;Variete;1980'
Tous les cris les SOS;Daniel Balavoine;French;Variete;1980'
True Colors;Cindy Lauper;English;Variete;1980'
Tu ne m'as pas laisse le temps;David Hallyday;French;Variete;1990'
Tu verras;Claude Nougaro;French;Variete;1970'
Twist And Shout;The Beatles;English;Variete;1960 Beatles Rolling stones'
Un homme extraordinaire;Les Innocents;French;Variete;1990'
Un soir de pluie;Blues Trottoir;French;Bossa;1980'
Unchained melody;Righteous Brothers;English;wedding;1960'
Une nuit sur son epaule;Veronique Sanson;French;Variete;1970'
Us And Them;Pink Floyd;English;Variete;1970'
use somebody;Kings-of-leon;English;Pop;2000'
Utile;Julien Clerc;French;Engage;1990'
Vancouver;Veronique Sanson;French;Variete;1970'
Venus;Shocking Blue;English;Variete;1960'
Venus in furs;Velvet underground;English;Variete;1960'
Vertige de l'amour;Alain Bashung;French;Variete;1980'
Votre fille a vingt ans;Serge Reggiani;French;Variete;1960'
