Title,Artist,Language,Genre,Period
Emilie Jolie,Phillippe Chatel,French,pop,1980'
Lili,Phillippe Chatel,French,pop,1970'
Another Brick in the Wall Part 2,Pink Floyd,English,progressive rock,1970'
Brain damage,Pink Floyd,English,progressive rock,1970'
Breathe,Pink Floyd,English,progressive rock,1970'
Comfortably numb,Pink Floyd,English,progressive rock,1980'
Eclipse,Pink Floyd,English,progressive rock,1970'
Time,Pink Floyd,English,progressive rock,1970'
Us And Them,Pink Floyd,English,progressive rock,1970'
Wish You Were Here,Pink Floyd,English,progressive rock,1970'
Wot's... uh the Deal,Pink Floyd,English,progressive rock,1970'
Where Is My Mind,Pixies,English,progressive rock,1980'
Protect Me From What I Want,Placebo,English,pop,2000'
Too many friends,Placebo,English,pop,2010 and after'
Le Bal de Laze,Polnareff,French,pop,1960'
Glory box,Portishead,English,progressive rock,1990'
I go to sleep,Pretenders,English,rock,1980'
Ill Stand By You,Pretenders,English,rock,1990'
Nothing compares 2 u,Prince,English,rock,1990'
A-Whiter Shade of Pale,Procul Harum,English,rock,1960'
A-Kind of Magic,Queen,English,glam rock,1980'
Crazy Little Thing Called Love,Queen,English,glam rock,1970'
Radio Ga ga,Queen,English,glam rock,1980'
Everybody Hurts,R.E.M,English,rock,1990'
Creep,Radiohead,English,progressive rock,1990'
No surprises,Radiohead,English,progressive rock,1990'
Weird Fishes Arpeggi,Radiohead,English,progressive rock,2000'
Killing in the name of,Rage against the machine,English,progressive rock,1990'
Mistral gagnant,Renaud,French,chanson,1980'
Sara Perche Ti Amo,Ricchi & Poveri,Italien-Corse,disco,1980'
Le coup de soleil,Richard Cocciante,French,pop,1970'
Unchained melody,Righteous Brothers,English,rock,1960'
Diamonds,Rihanna,English,pop,2010 and after'
Love on the brain,Rihanna,English,pop,2010 and after'
Angels,Robbie Williams,English,pop,1990'
Feel,Robbie Williams,English,pop,2000'
Killing me softly,Roberta Flack,English,song,1970'
I Dont Want to Talk About It,Rod Stewart,English,rock,1970'
Sailing,Rod Stewart,English,rock,1970'
Ci sara,Rodmina et albano,Italien-Corse,canzone,1980'
As Tears Go By,Rolling Stones,English,rock,1960 Beatles Rolling stones'
Country Honk,Rolling Stones,English,rock,1960 Beatles Rolling stones'
Wild Horses,Rolling Stones,English,rock,1960 Beatles Rolling stones'
Paint It Black,Rolling stones/Vanessa Carlton,English,rock,1960 Beatles Rolling stones'
Be My Baby,Ronettes - Phil Spector,English,rock,1960'
Black magic woman,Santana,English,rock,1960'
Still loving you,Scorpions,English,rock,1980'
Wind of change,Scorpions,English,rock,1990'
San Francisco,Scott McKenzie,English,folk rock,1960'
Harley davidson,Serge Gainsbourg,French,pop,1960'
la gadoue,Serge Gainsbourg,French,pop,1960'
La javanaise,Serge Gainsbourg,French,pop,1960'
Il suffirait de presque rien,Serge Reggiani,French,chanson,1960'
Ma fille,Serge Reggiani,French,chanson,1970'
Votre fille a vingt ans,Serge Reggiani,French,chanson,1960'
youre still the one,Shania Twain,English,country,1990'
Goodnight moon,Shivaree,English,pop,1970'
Venus,Shocking Blue,English,rock,1960'
Snowman,Sia,English,pop,2010 and after'
Kiss Me,Sixpence None the Richer,English,pop,1990'
Sugar Man,Sixto Rodriguez,English,folk rock,1970'
Chasing Cars,Snow Patrol,English,pop,2000'
Dejeuner en paix,Stephan Eicher/Philippe Djan,French,pop,1990'
Isn't she lovely,Stevie Wonder,English,r&b,1970'
Fragile,Sting,English,rock,1980'
Santeria,Sublime,English,reggae,1990'
Give a Little Bit,Supertramp,English,rock,1970'
Luka,Suzanne Vega,English,folk rock,1980'
