Title,Artist,Language,genre,Period
Dream a little dream of me,Mamas and The Papas,English,Jazz,1960'
California Dreaming,Mamas and The Papas,English,Variete,1960'
Chere amie,Marc Lavoine,French,Variete,1980'
je me sens pas belle,Marc Lavoine,French,Variete,1980'
All I Want for Christmas Is You,Mariah Carey,English,Christmas,1990'
All about that bass,Meghan Trainor,English,Girly,2010 and after'
Dear future husband,Meghan Trainor,English,wedding,2010 and after'
Like Im Gonna Lose You,Meghan Trainor,English,Variete,2010 and after'
Bitch,Meredith Brooks,English,Girly,1990'
Diego,Michel Berger,French,Variete,1980'
Les paradis blancs,Michel Berger,French,Variete,1990'
Seras tu la,Michel Berger,French,Variete,1970'
Les vacances au bord de la mer,Michel Jonaz,English,Variete,1970'
Lettre a France,Michel Polnareff,French,Variete,1970'
Respire,Mickey 3d,French,Variete,2000'
Flowers,Miley Cirus,English,Girly,2010 and after'
My Boy Lollipop,Millie Small,English,Variete,1960'
Nights in White Satin,Moody Blues,English,Variete,1960'
Comme un petit coquelicot,Mouloudji,French,Variete,1950 and before'
Time Is Running Out,Muse,English,Pop,2000'
Bang Bang,Nancy Sinatra,English,Variete,1960'
These Boots Are Made For Walkin,Nancy Sinatra,English,Variete,1960'
L-O-V-E,Nat king cole,English,Jazz,1950 and before'
Smile,Nat King Cole,English,Jazz,1950 and before'
Torn,Natalie Imbruglia,English,Pop,1990'
The needle and the damage done,Neil Young,English,Variete,1970'
l'amour a la plage,Niagara,French,Variete,1980'
Pendant que les champs brulent,Niagara,French,Variete,1990'
Quand la ville dort,Niagara,French,Variete,1980'
Feeling Good,Nina Simone,English,Jazz,1950 and before'
La Rua Madureira,Nino Ferrer,French,Bossa,1960'
Le Sud,Nino Ferrer,French,Variete,1970'
Pour oublier qu'on s'est aime,Nino Ferrer,French,Blues,1960'
About A Girl,Nirvana,English,Variete,1990'
Come as You Are,Nirvana,English,Variete,1990'
Where did you sleep,Nirvana,English,Pop,1990'
Dont Know Why,Norah Jones,English,Variete,2000'
Don't look back in anger,Oasis,English,Pop,1990'
Wonderwall,Oasis,English,Pop,1990'
Sitting On The Dock Of The Bay,Otis Redding,English,Variete,1960'
Hit me with your best shot,Pat Benatar,English,Variete,1980'
Il me dit que je suis belle,Patricia Kaas,French,wedding,1990'
Because The Night,Patti Smith,English,Variete,1970'
50 Ways To Leave,Paul Simon,English,Pop,1970'
Scarborough Fair / Canticle,Paul Simon and Garfunkel,English,Variete,1960'
Last kiss,Pearl Jam,English,Variete,1990'
Emilie Jolie,Phillippe Chatel,French,Variete,1980'
Lili,Phillippe Chatel,French,Variete,1970'
Another Brick in the Wall Part 2,Pink Floyd,English,Variete,1970'
Brain damage,Pink Floyd,English,Variete,1970'
Breathe,Pink Floyd,English,Variete,1970'
Comfortably numb,Pink Floyd,English,Variete,1980'
Eclipse,Pink Floyd,English,Variete,1970'
Time,Pink Floyd,English,Variete,1970'
Us And Them,Pink Floyd,English,Variete,1970'
Wish You Were Here,Pink Floyd,English,Variete,1970'
Wot's... uh the Deal,Pink Floyd,English,Variete,1970'
Where Is My Mind,Pixies,English,Pop,1980'
Protect Me From What I Want,Placebo,English,Variete,2000'
Too many friends,Placebo,English,Pop,2010 and after'
Le Bal de Laze,Polnareff,French,Variete,1960'
Glory box,Portishead,English,Variete,1990'
I go to sleep,Pretenders,English,Pop,1980'
Ill Stand By You,Pretenders,English,Pop,1990'
Nothing compares 2 u,Prince,English,Pop,1990'
A-Whiter Shade of Pale,Procul Harum,English,Variete,1960'
A-Kind of Magic,Queen,English,Variete,1980'
Crazy Little Thing Called Love,Queen,English,Rock,1970'
Radio Ga ga,Queen,English,Rock,1980'
Everybody Hurts,R.E.M,English,Pop,1990'
Creep,Radiohead,English,Rock,1990'
No surprises,Radiohead,English,Variete,1990'
Weird Fishes Arpeggi,Radiohead,English,Variete,2000'
Killing in the name of,Rage against the machine,English,Rock,1990'
Mistral gagnant,Renaud,French,Variete,1980'
Sara Perche Ti Amo,Ricchi & Poveri,Italien-Corse,Variete,1980'
Le coup de soleil,Richard Cocciante,French,Variete,1970'
Unchained melody,Righteous Brothers,English,wedding,1960'
Diamonds,Rihanna,English,Variete,2010 and after'
Love on the brain,Rihanna,English,Girly,2010 and after'
Angels,Robbie Williams,English,Variete,1990'
Feel,Robbie Williams,English,Girly,2000'
Killing me softly,Roberta Flack,English,Variete,1970'
I Dont Want to Talk About It,Rod Stewart,English,Variete,1970'
Sailing,Rod Stewart,English,Variete,1970'
Ci sara,Rodmina et albano,Italien-Corse,Variete,1980'
As Tears Go By,Rolling Stones,English,Variete,1960 Beatles Rolling stones'
Country Honk,Rolling Stones,English,Variete,1960 Beatles Rolling stones'
Wild Horses,Rolling Stones,English,Variete,1960 Beatles Rolling stones'
