Title,Artist,Language,Genre,Period
Eclipse,Pink Floyd,English,"progressive rock, psychedelic rock, classic rock, symphonic rock, art rock, rock",1970'
Time,Pink Floyd,English,"progressive rock, psychedelic rock, classic rock, symphonic rock, art rock, rock",1970'
Us And Them,Pink Floyd,English,"progressive rock, psychedelic rock, classic rock, symphonic rock, art rock, rock",1970'
Wish You Were Here,Pink Floyd,English,"progressive rock, psychedelic rock, classic rock, symphonic rock, art rock, rock",1970'
Wot's... uh the Deal,Pink Floyd,English,"progressive rock, psychedelic rock, classic rock, symphonic rock, art rock, rock",1970'
Where Is My Mind,Pixies,English,alternative rock,1980'
Protect Me From What I Want,Placebo,English,britpop,2000'
Too many friends,Placebo,English,britpop,2010 and after'
Le Bal de Laze,Polnareff,French,"variété française, chanson, french pop, french house",1960'
Glory box,Portishead,English,"trip hop, downtempo",1990'
I go to sleep,Pretenders,English,Unknown,1980'
Ill Stand By You,Pretenders,English,Unknown,1990'
Nothing compares 2 u,Prince,English,funk rock,1990'
A-Whiter Shade of Pale,Procul Harum,English,Unknown,1960'
A-Kind of Magic,Queen,English,"classic rock, rock, glam rock",1980'
Crazy Little Thing Called Love,Queen,English,"classic rock, rock, glam rock",1970'
Radio Ga ga,Queen,English,"classic rock, rock, glam rock",1980'
Everybody Hurts,R.E.M,English,"jangle pop, alternative rock, rock",1990'
Creep,Radiohead,English,"art rock, alternative rock",1990'
No surprises,Radiohead,English,"art rock, alternative rock",1990'
Weird Fishes Arpeggi,Radiohead,English,"art rock, alternative rock",2000'
Killing in the name of,Rage against the machine,English,"rap metal, rap rock, alternative metal, nu metal",1990'
Mistral gagnant,Renaud,French,"variété française, chanson, french house, french pop",1980'
Sara Perche Ti Amo,Ricchi & Poveri,Italien-Corse,"italo dance, italo disco",1980'
Le coup de soleil,Richard Cocciante,French,variété française,1970'
Unchained melody,Righteous Brothers,English,Unknown,1960'
Diamonds,Rihanna,English,Unknown,2010 and after'
Love on the brain,Rihanna,English,Unknown,2010 and after'
Angels,Robbie Williams,English,Unknown,1990'
Feel,Robbie Williams,English,Unknown,2000'
Killing me softly,Roberta Flack,English,adult standards,1970'
I Dont Want to Talk About It,Rod Stewart,English,soft rock,1970'
Sailing,Rod Stewart,English,soft rock,1970'
Ci sara,Rodmina et albano,Italien-Corse,opera,1980'
As Tears Go By,Rolling Stones,English,"classic rock, rock",1960 Beatles Rolling stones'
Country Honk,Rolling Stones,English,"classic rock, rock",1960 Beatles Rolling stones'
Wild Horses,Rolling Stones,English,"classic rock, rock",1960 Beatles Rolling stones'
Paint It Black,Rolling stones/Vanessa Carlton,English,"dark trap, horrorcore, rap metal",1960 Beatles Rolling stones'
Be My Baby,Ronettes - Phil Spector,English,christmas,1960'
Black magic woman,Santana,English,Unknown,1960'
Still loving you,Scorpions,English,"hard rock, glam metal, rock",1980'
Wind of change,Scorpions,English,"hard rock, glam metal, rock",1990'
San Francisco,Scott McKenzie,English,Unknown,1960'
Harley davidson,Serge Gainsbourg,French,"chanson, variété française, french pop, french jazz, french house",1960'
la gadoue,Serge Gainsbourg,French,"chanson, variété française, french pop, french jazz, french house",1960'
La javanaise,Serge Gainsbourg,French,"chanson, variété française, french pop, french jazz, french house",1960'
Il suffirait de presque rien,Serge Reggiani,French,"chanson, variété française",1960'
Ma fille,Serge Reggiani,French,"chanson, variété française",1970'
Votre fille a vingt ans,Serge Reggiani,French,"chanson, variété française",1960'
youre still the one,Shania Twain,English,country,1990'
Goodnight moon,Shivaree,English,Unknown,1970'
Venus,Shocking Blue,English,nederpop,1960'
Snowman,Sia,English,Unknown,2010 and after'
Kiss Me,Sixpence None the Richer,English,Unknown,1990'
Sugar Man,Sixto Rodriguez,English,"folk rock, folk",1970'
Chasing Cars,Snow Patrol,English,Unknown,2000'
Dejeuner en paix,Stephan Eicher/Philippe Djan,French,Unknown,1990'
Isn't she lovely,Stevie Wonder,English,"motown, soul",1970'
Fragile,Sting,English,soft rock,1980'
Santeria,Sublime,English,"reggae rock, ska punk, ska",1990'
Give a Little Bit,Supertramp,English,"progressive rock, classic rock, symphonic rock",1970'
Luka,Suzanne Vega,English,singer-songwriter,1980'
Lonely Day,System Of A Down,English,"nu metal, metal, alternative metal, rap metal, rock",1990'
Stand by Your Man,Tammy Wynette,English,"traditional country, country, honky tonk",1960'
The door,Teddy Swims,English,Unknown,2010 and after'
Eternal Flame,The Bangles,English,jangle pop,1980'
A-Hard Day's Night,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Across The Universe,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
All My Loving,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
All You Need Is Love,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
And I Love Her,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Back in the USSR,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Can't Buy Me Love,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Come together,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Don't Let Me Down,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Drive My Car,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Eight days a week,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
I saw her standing there,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Love Me Do,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Nowhere Man,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Oh! Darling,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Please Please Me,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Something,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
The Long and Winding Road,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Twist And Shout,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
We Can Work It Out,The Beatles,English,"classic rock, psychedelic rock",1960 Beatles Rolling stones'
Please Mr. Postman,The Marvelettes,English,"motown, northern soul, doo-wop",1970'
Dirty old town,The Pogues,English,"celtic rock, christmas, folk punk, celtic",1980'
Roxanne,The Police,English,Unknown,1970'
Stop in the Name of Love,The Supremes,English,"motown, northern soul, soul",1960'
Behind blue eyes,The Who,English,"classic rock, rock",1970'
Dimmi perche,Thomas Dutronc,Italien-Corse,Unknown,trad
Plus je t'embrasse,Thomas Dutronc/blossom Dearie,French,Unknown,1950 and before'
fortunatu,Toni Toga,French,fújì,trad
Bella ciao,Traditional,Italien-Corse,"traditional music, sufi, bhajan, medieval, qawwali, gregorian chant",trad
Wild Thing,Troggs,English,proto-punk,1960'
One,U2,English,rock,1990'
Pride (In the Name of Love),U2,English,rock,1980'
Sunday Bloody Sunday,U2,English,rock,1980'
With or without you,U2,English,rock,1980'
I Got You Babe,Ub40,English,reggae,1960'
