Title,Artist,Langue,genre,Period
Sei nell'anima,Gianna Naninni,Italien-Corse,Variete,inconnu
Sensualite,axelle red,French,Variete,inconnu
Senza una donna a refaire,Zucchero,Italien-Corse,Variete,inconnu
Seras tu la,Michel Berger,French,Variete,inconnu
Seven Nation Army,White Stripes,English,Rock,2000'
Shallow,Lady Gaga,English,Variete,2010'
The shape of my heart a refaire,Sting,English,Variete,1990'
Shenandoah,Bruce Springsteen,English,Variete,inconnu
Should I Stay or Should I Go,Clash,English,Rock,1980'
Si maman si,France Gall,French,Variete,inconnu
Si seulement je pouvais lui manquer,Calogero,French,Variete,inconnu
Si vous n'avez rien a me dire,Francoise Hardy,French,Variete,inconnu
Siffler sur la colline,Joe Dassin,French,Variete,inconnu
Sign of the times,Harry Style,English,Girly,2010'
Sister Jane,jean-jacques goldman- tai phong,English,Variete,1970'
Sitting On The Dock Of The Bay,Otis Redding,English,Variete,1960'
Skinny Love,Birdy,English,Variete,2000'
Smile,Nat King Cole,English,Jazz,1950 and before'
Snowman,Sia,English,Christmas,2010'
Something,the Beatles,English,Variete,1960 Beatles Rolling stones'
Something stupid,Franck et Nancy Sinatra,English,Variete,1960'
Somewhere Only We Know-capo,Keane,English,Pop,2000'
Space Oddity,David Bowie,English,Pop,1960'
Stairway To Heaven,Led Zeppelin,English,Variete,1970'
Stand By Me,Ben E King,English,wedding,1960'
Stand by Your Man,Tammy Wynette,English,Variete,1960'
Starman,David Bowie,English,Variete,1970'
Still got the blues,Gary Moore,English,Blues,1990'
Still loving you,Scorpions,English,Rock,1980'
Stop in the Name of Love,The Supremes,English,Variete,1960'
Stormy weather,Billie Holiday,English,Jazz,1950 and before'
Sugar Man,Sixto Rodriguez,English,Engage,1970'
Summertime,Georges Gershwin,English,Variete,1950 and before'
Sunday Bloody Sunday,U2,English,Pop,1980'
Sunday kind of love,Etta James,English,Jazz,1960'
Surfin Usa-v,Beach Boys,English,Variete,1960'
Sweet child O mine,Gun N Roses,English,Variete,1980'
Sweet Dreams,Eurythmics,English,Girly,1980'
Syracuse2,Henry Salvador,French,Bossa,inconnu
Tant de belles choses,Francoise Hardy,French,Variete,inconnu
Tennessee whiskey,Chris Stappleton,English,wedding,2010'
That ll be the day,Buddy Holly,English,Variete,1950 and before'
That's why i play the blues,Gary Moore,English,Blues,2000'
the fallen leaves,joseph Kosma,English,Jazz,1950 and before'
These Boots Are Made For Walkin,Nancy Sinatra,English,Variete,1960'
Three Little Birds,Bob Marley,English,Variete,1980'
Three O clock blues,BB King,English,Variete,1950 and before'
Ti Amo,Umberto Tozzi,Italien-Corse,Variete,inconnu
Time,Pink Floyd,English,Variete,1970'
Time after time,Cindy Lauper,English,Variete,1980'
Time Is Running Out,Muse,English,Pop,2000'
Too many friends,Placebo,English,Pop,2010'
Torn,Natalie Imbruglia,English,Pop,1990'
Total eclipse of the heart,Bonnie Tyler,English,Variete,1980'
Tous les cris les SOS,Daniel Balavoine,French,Variete,inconnu
True Colors,Cindy Lauper,English,Variete,1980'
Tu,Umberto Tozzi,Italien-Corse,Variete,inconnu
